,subj_idx,sess_ctr,val_ctr,rt,response,sim_a,sim_t,sim_vi,sim_vv,sim_vs,sim_vsv,sim_z,sim_sv,sim_st
0,1.0,-1.00413229504297,1.0056555090923298,0.9671353635056504,1.0,1.2067452417261562,1.0557198797399696,0.5534551543953881,0.6209097051418051,0.12543844678451294,-0.3053067258289429,0.5890430651175123,0.1503232610431709,0.5077495572784596
0,1.0,-1.00413229504297,1.0056555090923298,1.4737202377009533,1.0,1.2067452417261562,1.0557198797399696,0.5534551543953881,0.6209097051418051,0.12543844678451294,-0.3053067258289429,0.5890430651175123,0.1503232610431709,0.5077495572784596
0,1.0,-1.00413229504297,1.0056555090923298,1.5718670043454148,1.0,1.2067452417261562,1.0557198797399696,0.5534551543953881,0.6209097051418051,0.12543844678451294,-0.3053067258289429,0.5890430651175123,0.1503232610431709,0.5077495572784596
0,1.0,-1.00413229504297,1.0056555090923298,1.602634010884141,1.0,1.2067452417261562,1.0557198797399696,0.5534551543953881,0.6209097051418051,0.12543844678451294,-0.3053067258289429,0.5890430651175123,0.1503232610431709,0.5077495572784596
0,1.0,-1.00413229504297,1.0056555090923298,1.067884720958627,1.0,1.2067452417261562,1.0557198797399696,0.5534551543953881,0.6209097051418051,0.12543844678451294,-0.3053067258289429,0.5890430651175123,0.1503232610431709,0.5077495572784596
0,1.0,-1.00413229504297,1.0056555090923298,1.0839514075727408,1.0,1.2067452417261562,1.0557198797399696,0.5534551543953881,0.6209097051418051,0.12543844678451294,-0.3053067258289429,0.5890430651175123,0.1503232610431709,0.5077495572784596
0,1.0,-1.00413229504297,-0.994331965369061,1.5576836084520014,1.0,1.2067452417261562,1.0557198797399696,0.5534551543953881,0.6209097051418051,0.12543844678451294,-0.3053067258289429,0.5890430651175123,0.1503232610431709,0.5077495572784596
0,1.0,-1.00413229504297,-0.994331965369061,1.3124907677917654,1.0,1.2067452417261562,1.0557198797399696,0.5534551543953881,0.6209097051418051,0.12543844678451294,-0.3053067258289429,0.5890430651175123,0.1503232610431709,0.5077495572784596
0,1.0,-1.00413229504297,-0.994331965369061,1.9669655663047034,0.0,1.2067452417261562,1.0557198797399696,0.5534551543953881,0.6209097051418051,0.12543844678451294,-0.3053067258289429,0.5890430651175123,0.1503232610431709,0.5077495572784596
0,1.0,-1.00413229504297,-0.994331965369061,1.1206424491531808,1.0,1.2067452417261562,1.0557198797399696,0.5534551543953881,0.6209097051418051,0.12543844678451294,-0.3053067258289429,0.5890430651175123,0.1503232610431709,0.5077495572784596
